abaspa tuktun.	flor de haba.
Asnumanta wichiykuspan kuchusninta muqakurqun.	Al caerse del asno se dislocó el codo.
Muquymi chiripi utin.	Mi rodilla se adormece por el frío. 
Muqupi llama mikun.	La llama come en la loma.
Murayayuq puchiruqa miskisum.	El puchero de chuño blanco es riquísimo.
Asnaqkunata muskispa imatapas riqsichwan.	 Oliendo las cosas podemos conocerlas.
Qammi musquyniypi ñuqawan takanakuchkasqanki.	En mis sueños tú y yo estábamos golpeándonos.
Mutita allinta kachukusun Ilamkananchikpaq.	Comamos bastante mote para trabajar.
Muyanchikta qurasunchik.	Vamos a deshierbar nuestro jardín.
Muyukunata qillqasun.	Tracemos círculos.
Wanukunata qurastin muyuq wayra riku rirqamun.	Levantando la basura apareció el remolino.
Kay rumita muyuchiychik.	Den vueltas a esta piedra.
Hatun taytaqa hamuy ninmi.	El abuelo dijo: ven.
Paqpata nuyuchin waska rurananpaq.	Remoja la cabuya para hacer una soga.
Chaki nanaywanmi churiy kachkan.	Mi hijo está con dolor de piernas.
Sapa hatarispam tayta mamanchikta napaykunanchik.	Cada vez que nos levantemos de dormir debe mos saludar a nuestros padres.
¡Ñanllayta kichay, maykamapas risaqmi!	¡Solo abre mi camino, iré hasta donde quieras!
Waqramanta rurasqa ñaqchaqa manam pakikunchu.	El peine hecho de cuerno no se rompe.
Saywaqa Illariypa ñañanmi.	Saywa es la hermana de Illariy.
Yachay wasi rinaykichikpaq ñaqchakuychik.	Péinense para ir a la escuela.
¡Machitita ñawchiy!.	Afila el machete.
Ñawinchikta imamantapas amachasun.	Cuidemos bien nuestros ojos.
Yachachiqpa qillqa maytuta ñawichasun.	Vamos a leer el libro del profesor.
Rimasqay warmiqa ñawpaqniypim kan.	La mujer con quien converso se encuentra delante mí.
Ñawpaqqa manas wakchakuna kasqachu.	Dicen que antes no había pobres.
Ñawsa utuluta nakarqusun.	Matemos al gallo ciego.
lskay ñiqi punchawpi Ilaqtata risunchik.	Iremos al pueblo el segundo día de la semana.
Iskay ñiqipiñam wawayki kachkasqa.	Tu hijo ya esta en segundo grado.
Ñuqñuqa allin mikuymi.	La leche es un buena alimento.
Ñuñusapam chay sipas.	Esa joven tiene senos grandes.
Kawrapa ñuñunqa iskay suqunayuqmi.	La teta de la cabra tiene dos pezones.
Wañuq aylluypa ñunanta chisi rikuni.	Anoche he visto el espíritu de mi difunta familia.
Warmaqa ñutita pichakun.	El niño se limpia el moco.
Runapa ñutqunqa Ilasam.	El seso del hombre es pesado.
Ñutu papata yanurqusun.	Sancochemos la papa menuda.
Pachak watayuqñam kay yachay wasinchik.	Nuestra escuela ya tiene cien años.
¡Llumpaytam qanrachachkanchik yachananchik pachata!	¡Estamos contaminando demasiado el mundo en que vivimos!
Pachak chakiqa kachusunkimanmi.	El ciempiés puede picarte.
Sumaq sumaqta pachakarqamusqa.	Se había vestido hermosamente.
Pakisqa qillqanatam quwarqa.	Me ha dado un lápiz roto.
Yanukunanpaq yantata pakin.	Ella quiebra la leña para cocinar.
Wañunanpaqmi pakpaka waqachkan.	La lechuza llora anunciando que alguien morirá.
Kay raymipiqa palikachaykita churakuykuy.	Ponte tu faldita para esta fiesta.
Kukata pallasun.	Recojamos la coca.
Chalapi supay pallaysukuna kan.	En la costa hay abundante cucaracha.
Paltata kachichayuqta mikukusun.	Comamos palta con sal.
Wak pampapi pukllamusun.	Vamos a jugar en esa pampa.
Saqiwasqaykitaqa pampachaniñam.	Ya te perdoné por haberme abandonado.
Waytapa taytanta haku pampaysimusun.	Acompañemos en el cortejo fúnebre.
Paykunapas panakayku rantim.	Ellos también pertenecen a nuestro linaje.
Rumi panchirqukusqa.	La piedra se había rajado.
Paniypa makintam kanan tuta mañanqaku.	Esta noche van a pedir la mano de mi hermana.
Pankachu ruqu warmiwanmi tuparquni.	Me encontré con una mujer de sombrero acampanado.
Paqarinmi papayata mikusun.	Mañana comeremos papaya.
Kamachikuqkuna Ilaqta runakunata pantachin.	Los gobernantes engañan a la población.
Yupayta pantarquni.	Me equivoqué en contar.
Paña makinmi muqakurqun.	Se luxó su mano derecha.
Kay Ilaqtapi yachay wasita paqarichisun.	Vamos a crear una escuela en este pueblo.
Paqarin tutapayta hamunkichik.	Mañana vengan temprano.
Paqariy chayaykamuchkanña.	Ya está llegando el amanecer.
Saracha paqarirqamusqa.	Había brotado el maicito. 
Llaqtaypi paqchaqa sumaqtam qawakun.	La catarata de mi pueblo se ve bonita.
Paqchapiña pachaykita aywirqamuy.	Mejor, enjuaga tu ropa en la cascada.
Machuyasqanmanhinaqa qarikuna paqlayanmi.	Conforme envejecen los varones se vuelven calvos.
Pirqanchik kurawanapaq paqpata kuchumusunchik.	Vamos a cortar cabuyas para las bardas.
Paqtachay kaptinqa manam pipas waqanmanchu.	Si hubiera justicia nadie sufriría.
Sapa runam paqtachiyuq kanchik.	Todos los hombres tenemos libertad.
Paqu aychatam rantikuchkanku.	Están vendiendo carne de alpaca.
Chuqllupa chukchanmi paqu Ilimpiyuq.	El pelo del choclo es rubio.
Para chayamuptinqa qiwapas wiñanmi.	Cuando llega la lluvia hasta el pasto crece.
Chitapa parisnintam allqu mikurqun.	El perro se comió la placenta de la oveja.
Pariwanatam uywakumani qamkuna riqsinaykichikpaq.	Yo crié un flamenco para que lo conozcan ustedes.
Sara tarpunapaq parqumusun.	Vamos a regar para sembrar maíz.
Sarapa parwansi wiksa punkipaq allin kan.	Dicen que la flor de maíz es buena contra la hinchazón de estómago.
Sarata tarpuptiy achkam pasanqalla kuna rikurimun.	Cuando siembro maíz aparecen mu chas rosetas de maíz.
Chuñu pasita warmakunaman qaraykapullaway.	Hazme el favor, de servir chuño sancochado a los niños.
¡Wakanchikta paskay!.	¡Desata a nuestras vacas!.
Papa akllananpaq tawa pasñakunata munani.	Quiero cuatro muchachas para que escojan la papa.
Haku wak patata.	Vamos a ese muro.
Patachi qaramuwananta munani.	Quiero que me sirva patachi.
Pata patapi purututa tarpukusun.	Sembremos frijoles en los andenes.
Waskata pataray.	Dobla la soga.
Hawasqa patarqunñam, allinñam mikunapaq.	Las habas ya están reventadas, listas para comer.
Wak sallar qumiryarinanpaq patita tarpuchwan.	Sembraríamos pati para que esos pedregales se tornen verdes.
Kallpaylla yachay wasita rinki.	Irás corriendo a la escuela.
Wallpanchikmi pawarikun.	Nuestra gallina ha volado.
Hatun mamanqa payachañam.	Su abuela ya está viejita.
Chay qupakunata pichaykunki.	Vas a barrer esa basura.
Pichiwsa wallpapa mikunanta mikuchkan.	El gorrión está comiendo la comida de la gallina.
Piki yawarniyta suqurquwan.	La pulga me chupó la sangre.
Waytan waytan pillpintu pawaykachachkan.	La mariposa vuela de flor en flor.
Pilluta ruraykusun.	Hagamos una corona de flores.
Wak runaqa piña piñam kachkan.	Ese hombre está muy enojado.
Yachachiqqa mana warmakuna allinta Ilamkaptinku piñakun.	El profesor se molesta cuando los niños no trabajan bien.
Pinchi killaqa tutanmi kanchan.	La luciérnaga alumbra por las noches.
Pinkulluqa miskita waqachinapaqmi.	La quena es para tocarla dulcemente.
Amam runa masinchikta pinqachina chu.	No debemos avergonzar a nuestros semejantes.
Runakuna pinqayllapaq kaqkuna kanmi.	Hay personas que solo viven para criticar.
Humintata pintumusun.	Vamos a envolver las humitas.
Wasipa pinqan tuñirqamuchkanña.	La pared de la casa está derrumbándose.
Qayna punchaw rumiwan pirqamani.	Ayer levanté el muro con piedra.
¡Pirwamanta sarata hurqumuy!.	¡Saca el maíz de la pirwa!.
Pisillatam quykuwanki.	Me diste poco.
Tukuy punchaw llamkasqaymanta pisipasqam kachkani.	Estoy cansado por haber trabajado todo el día.
Pisqi mikuyqa allinmi umapaq.	El puré de quinua es vitamina para el cerebro.
Pisqukuna siwarata mikuchkan.	Los pájaros están comiendo la cebada.
Piwi churiyqa yachachiqmi.	Mi primer hijo es profesor.
¡Puchkata millwa kawpunapaq apay!.	¡Lleva la rueca para hilar la lana!.
¡Llamapa millwanta kawpuchun!.	¡Que hile la lana de la llama!.
Puchqu pikantiqa yakunayachikunmi.	El picante salado provoca sed.
Llumpaytam puchqurqachisqa mikuyta.	Había salado demasiado la comida.
Yaw, puka pulliracha.	Oye, pollerita colorada.
maytataq richkanki?	a dónde vas?
Saksaywaman pukarataqa hatunkaray rumikunawanmi pirgasqaku.	La fortaleza de Sacsayhuaman está construida con piedras inmensas.
Warmakunam pukuchuwan pukilachkanku.	Los niños juegan con la pelota.
¡Pukruman wanuta wischumuy.	¡Arroja el guano a la hondonada!.
¡Pukunawan ninata pukuy!.	¡Aviva la candela con el soplador!.
Wawaqa allinta ninata pukun.	El niño sopla muy bien la candela.
Pukyumanta yakuta apamuy.	Trae agua del manantial.
Wawapa pukyun timputiyamun.	La fontanela del bebé late.
¡Mamaykipa pulliranta taqsay!.	¡Lava la pollera de tu madre!.
Pullkanqataqa ichuq makipim apaqku.	El escudo lo llevaban en el brazo izquierdo.
Llampullam wikuña millwamanta rurasqa pullu.	La manta hecha de lana de vicuña es muy suave.
Mayus pumpu kulluta apamusqa.	Dicen que el río trajo un tronco podrido.
Kunan punchaw Ilamkaq hamunqa.	Hoy día vendrá a trabajar.
Punchiykita rantikuway.	Véndeme ponche.
Punchuta awiluy awapuwachkan.	Mi abuelo me está tejiendo un poncho.
Yakupi nuyuchisqa saraqa punkirqusqam.	El maíz remojado se había hinchado.
Wasipa punkun wichqasqa kachkan.	La puerta de la casa está abierta.
Allquqa puñuchkanmi.	El perro está durmiendo.
Wawapa pupun chakichkanña.	El ombligo del bebé ya está cicatrizando.
Intiwanmi mikuykuna puqun.	Los productos maduran con el sol.
Mikuykuna puqumuchkanñam.	Ya es tiempo de maduración.
Uywakuna pampapi purinku.	Los animales están caminando en el campo.
Wallpa purunta tikrachkan.	La gallina está mudando su plumaje.
Purun allpaqa manam tarpunapaq allinchu.	El terreno eriazo no sirve para sembrar.
Purututa tarpumusun.	Sembremos frijol.
¡Yachay wasinman wawata pusay!.	¡Lleva al niño a su escuela!.
Kamchasqa hawasmanta puspun.	Sancocha haba tostada.
Unaymanta Ilamkaykuptiymi makiy pusullukurqun.	Por haber trabajado después de mucho tiempo mi mano se hizo ampollas.
Mayupa pusuqunchu ñuqaqa karqani muyu muyurispa chinkarqunaypaq.	Acaso yo soy espuma de río para desaparecer dando vueltas y vueltas.
Chakajpampa putka yakuqa sachakunata upan.	El río Chakabamba, de agua turbia, arrastra árboles.
Putquy machkata aynikuykuway.	Préstame un puñado de machca.
¡Kalawasa putupi yakuta apamuy!.	¡Trae el agua en la vasija de calabaza!.
Wakchayasqa ayllu Ilamkaywan puturichkanña.	La familia empobrecida comienza a sobresalir por el trabajo.
Taytankuman puylluta mallichinku.	Sus padres convidan panecillos.
Putututa apamuy runakuna qayananchikpaq.	Trae el pututo para llamar a la gente.
Mamaypa puchkantam puyu tukurqusqa.	La polilla terminó con el hilado de mi madre.
Puyu intita harkarqun.	La nube tapó al sol.
Chakranchikqa qallpam, manam kapkachu.	La tierra de nuestra chakra es suave, no es dura.
Uywapa yanusqa qallunqa miski miskim.	La lengua cocida de los animales es rica.
Warmi wachananpaqqa Ilumpaytam qaman.	La mujer puja mucho al dar a luz.
Chupiqa qamyam kachkan.	La sopa está desabrida.
Qañiwata mikuspaqa allin kallpayuqmi wawakuna qispin.	Comiendo cañihua los bebés crecen muy saludables.
Qanra pachakunata taqsamusun.	Vamos a lavar las ropas sucias.
Qantupa waytanta sumirunpi apan.	Lleva una flor de cantuta en el sombrero.
Runa churinta qaparin.	El hombre le grita a su hijo.
Limunchata uchuman qapiykuy.	Exprime el limón en el ají.
Qaqapa uchkunpi anka uqllachkan.	En la oquedad de la roca está empollando el gavilán.
¡Ama wawata qaqchaychu!.	¡No reprendas al niño!.
Akuta tanta ruranapaq qaquy.	Soba la masa para hacer el pan.
Runapa qaranmanta yawar Iluqsimun.	De la piel del hombre sale sangre.
Wakapa qaranmanta siquyta ruranku.	Del cuero de la vaca hacen ojotas.
Papapa qaranqa allinmi ruru nanaypaq.	La cáscara de la papa es buena para el dolor de riñones.
Mana mayllakusqaqa uyapipas makipipas qaracha rikurimun.	Si no se lavan la cara o las manos puede ocasionar sarna  aparece la sarna.
Qara chupaqa sachantapas, pampantapas purinmi.	La zarigüeya camina tanto en los ár boles como en la tierra.
Mikunankupaq qarakamuy.	Sirve la comida para que coman.
Mana riqsisqa runata qarayqa sasam kasqa.	Servir a una persona desconocida ha bía sido difícil.
Qaraywaqa ranra ranrakunapim kawsan.	La lagartija vive en los cascajales.
Allinnin kaq qarita pusamunki.	Traes al mejor varón.
Qasaman chayarquspaqa uraytañam qallaykusun.	Cuando lleguemos al abra comenzaremos a bajar.
Qasaqa papatam yanurqusqa.	La helada había “sancochado” las matas de papa.
Qasquypim anacha kan.	En mi pecho hay un lunar.
Chay qatapiqa manam tarpuymanchu.	En esa ladera no podría sembrar.
¡Uywakuna mikunanpaq qatiy!.	¡Arrea a los animales para que coman!.
Wiksa nanaypaqqa qatqi qurachata upyay.	Debes tomar yerbita amarga contra el dolor de estómago.
Wanka Willka Ilaqtaqa sumaq qatuyuqmi.	La ciudad de Huancavelica tiene un bonito mercado.
Runakuna imayna purisqanta qawanki.	Verás cómo camina la gente.
Runakuna huñunakunanpaq qayaykuy.	Llama a la gente a una reunión.
Mana mikunanpaq kaptin runa masinkunata qayakun.	Al no tener que comer invoca a sus semejantes.
¡Chitakunata qinchanman qaykurqamuy!	¡ Arrea las ovejas al corral!
Chakrapa qayllan rikurimuchkan.	Se ve el límite de la chacra.
Qaynaqa allintam awilunchikkuna mikurqaku.	Nuestros abuelos antes se alimentaban muy bien.
Manam qayna punchaw imayna kasqanchikmanta yuyakunchikchu.	No nos acordamos cómo estuvimos ayer.
Qayninpa punchawmi Ayakkuchuman illarqa.	Antes de ayer viajó hacia Ayacucho.
¡Yana qaytuta haywamuway!.	¡Alcánzame el hilo negro!.
¡Mankata mana tasnumunanpaq qaywiy!.	¡Bate la olla para que no rebalse!.
Kuchinchik qichawan kachkan.	Nuestro chancho está con diarrea.
Qichincha kirusiniwan llumpayta rikurimun. 	Se forma bastante tizne con el kerosene.
Chukllaqa qichinchasqam kachkan.	La choza está tiznada por el humo.
Qichipraqa ñawitam, imamantapas amachan.	Las pestañas protegen a los ojos de cualquier objeto.
Qillqananta qichurqapun.	Le quitaron su lapicero.
Kimsamanta hukta qíchuptinchikqa iskayllañam.	Si restamos uno de tres solo queda dos.
Qichwapiqa sara wiñanmi.	En el valle crece el maíz.
Qichwaqa miski simim.	El quechua es una lengua afectiva.
Qilla runa machaylla machan.	El hombre ocioso solamente bebe y bebe.
Qillata hurqumuspanku yakuta qachachanku.	Extrayendo mineral contaminan el agua.
Qillaymanta kuchunata rurachisun.	Mandemos a hacer un cuchillo de fierro.
Qillichayqa manam allinchu, unquchiwanchikmi.	No es bueno contaminar; nos provoca  enfermedades.
Llaqta runakunam mayuta qillinku.	Los habitantes de las ciudades contaminan el río.
Kullu qillpam makiyman satikurqun.	Una astilla se introdujo en mi mano.
Qillqanawan rikchakuyniyta llimpiy.	 Dibuja mi retrato con el lápiz.
Chanka qichwa simipaqa kimsallam luqyanankuna, luqyanayuqkunañataqmi chunka pichqayuq.	En el quechua chanka hay tres voca les y quince consonantes.
Sunchu waytaqa qillu llimpiyuqmi.	La flor del suncho es de color amarillo.
Ñawinman qupa yaykurquptin qimchiykachachkan.	Debido a la basura que le entró en sus ojos está parpadeando.
Warmapura qimchinakunku.	Entre niños se guiñan los ojos.
Takinaypaq qinawan yanapawanki.	Me acompañarás con tu quena para cantar.
Qumirwan anqasniraq Ilimpiyuqmi qintiqa kan.	El picaflor es de color verde azulado.
Chiri allpakunapim qiñwa sachaqa wiñan.	El quinual crece en tierras frías.
Ama qipaman qawaychu.	No mires hacia atrás.
Urpiqa qistanpim kachkan.	La paloma está en su nido.
Warmi qipinta qunqarqun.	La mujer se olvidó su bulto.
Qipichakuyña rikunanchikpaq.	Alista tu bulto para irnos.
Wawata waytawan qipichay.	Envuelve al bebé con flores.
Qirupi aqata qaray.	Sirve chicha en el quero.
Urpiqa qisanpi tiyarqunñam.	La paloma ya está empollando en su nido.
Kuchurqusuptiykitaq chay qispi.	No vaya a ser que ese vidrio te corte.
Piru suyunchik qispichiqmi José de San Martín karqa.	José de San Martín fue el libertador del Perú.
Ñakakuyninta qispirqachinñam.	Ya se liberó de sus problemas.
Pata patata siqay.	Sube las escaleras.
Kiskisqa chisinkuytaqa pawaytam qaIlaykun.	La cigarra comienza a volar al caer la noche.
Qiswawan kaspikunata wasi qatanapaq watay.	Amarra los palos con soga de ichu para techar la casa. 
Qiwata pallamuy quwi mikunanpaq.	Coge pasto para que coman los cuyes.
QiwIlaqa imaymana yakupi kaq urukunawanmi kawsan.	La gaviota se alimenta de todo tipo de gusanos que encuentra en el agua.
Warmapa makinmanta qiya Iluqsirqa.	Salió pus de la mano del niño.
Hatun hatun qucham Titikakaqa.	El lago Titicaca es muy grande.
lnka qullanakunaqa allin qawasqam karqa.	La nobleza Inca fue muy considerada.
Akllasqanchik qullanam llaqtanchikta wiñachichkan.	La autoridad que elegimos hace posible el desarrollo de nuestro pueblo.
Uywakunaqa sapa punchawmi waqtapi qullpan.	Los animales lamen el salitre en la pendiente todos los días.
Allpa uku, mina nisqanmantam qullqita hurqumunku.	De la mina extraen la plata.
Yachay wasiman riypas achka quIlqipaqmi.	Asistir a la escuela cuesta mucho dinero.
Kikinkupura qumallinakunku.	Entre ellos (as) se acusan.
Unkuqa qumir awasqawan rurasqam.	La camisa está hecha de tela verde.
Wiksayki mana nanasunaykipaq quñi yakuta upyay.	Toma agua caliente para que no te duela el estómago.
Rumipi qunqurinta waqtakurqun.	Se golpeó la rodilla en la piedra.
¡Ama qunqurikuychu!.	¡No te arrodilles!.
Qupa wischunaykipaq pichay.	Barre la basura para que la botes.
Payqa anchatam quqawta munan.	A él le gusta mucho el fiambre.
Sallqa allpakunapi quqututa qawarqani.	Vi a la torcaza en tierras altoandinas.
Mana qipiyta atispa warmaqa quqman.	El niño puja al no poder cargar.
Chakraypi qura puraminti wiñarqamun.	En mi chacra ha crecido mucha mala hierba.
Chimpa arwirhas chakrata quraysimuway.	Ayúdame a deshierbar la chacra de alverjas del frente.
Qurimanta qullqi.	Moneda de oro.
Supay supaytam puñuspan qurquryan.	Ronca como el diablo al dormir.
Qari runapapas machu uywakunapas qurutanqa iskaymi.	Dos son los testículos de los varones y de los animales machos.
Paniypa qusanqa llamkaq runam.	El esposo de mi hermana es traba jador.
Qusi walichatam rantipusqayki.	Voy a comprarte una pollerita ce leste.
Sansa qusñichkan.	El carbón está humeando.
Kunkapim qutu rikurimun.	El bocio sale en la garganta.
Miski miskim quwipa aychan.	La carne de cuy es muy agradable.
Misipa ñawinqa quyllurhinam tutayaypi kancharin.	Los ojos del gato brillan como la estre lla en la noche.
Ranrallañam chakraqa.	La chacra es muy pedregosa.
Ayllu chakraqa ranra ranrallañam.	La chacra de la comunidad es un pedregal.
Chinakunallapan rakan kan.	Solo las hembras tienen vagina.
Raku kullu.	Tronco grueso.
Rakta kaqnintam qatanataqa rantimunki.	Vas a comprar la frazada más gruesa.
Ayllu chakraqa ranra ranrallañam.	La chacra de la comunidad es un pedregal.
Chanin chaninwanmi wasita rantini.	Compro la casa con mucho dinero.
Qariqa qatupim rantikun.	El hombre vende en el mercado.
Raprapi harawikunata qillqasaq.	En un papel escribiré poesías. 
Qillqana maytupa rapinqa sumaqmi.	La hoja del cuaderno es buena.
Yutupa huknin rapranta pakirqusqaku.	Quebraron una de las alas de la perdiz.
Qarachaqa ñuqamanpas rataykuwanmi.	A mí también me contagió la sarna.
¡Rawkanawan papata hallmamuy!.	¡Aporca la papa con el azadón!.
Nina Ilumpayta rawran.	Hay mucho fuego.
Kunkaykichu rawrachkan?	Acaso tu garganta está escociendo?
Paqarimusqanrayku raymita ruranku.	Festejan el día de su nacimiento.
Hakutaqa rihuta kutaspa ruranku.	Hacen harina moliendo el trigo.
Rikchapakuyllam rikchapakun, mana munasqanta ruraspa.	Solo se imagina, sin concretar sus ideales.
¡Wawa rikcharikunñam!.	¡Ya despertó el bebé!.
Rikraymi nanawachkan.	Me está doliendo el hombro.
Yachay wasiman risqaykita rikurqanim.	Vi que fuiste a la escuela.
Yachachiqwan tayta mama rimanakunku.	El maestro y el padre de familia dialogan.
Hatun rimanakuymi kachkan.	Se está llevando  a cabo una gran asamblea.
Tarpusqanchikmanta rimasun.	Hablemos de nuestra siembra.
Rinri wirachata hurqunanchikmi.	Hay que sacarse el cerumen.
Wanta Ilaqtataqa riqsinim.	Conozco el pueblo de Huanta.
Riti achikyarqusqa urqu umanpi.	Había amanecido con nieve el cerro.
Chikchi para chayamuptín ritin urqukunata.	Cuando llega la granizada se forma nieve en los cerros.
¡Yachay wasiman riy!.	¡Anda a la escuela!.
Kichkam raku rukananman tiparqun.	Se pinchó una espina en el dedo gordo.
Wawachakuna rumasiru hapirquptinqa wañunmanmi.	Los bebés pueden morir cuando el resfrían.
¡Chakramanta rumikunata wischuy!.	¡Bota las piedras de la chacra!.
Uywapa tullun rumiyarqusqa.	Se había petrificado el hueso del animal.
Wakin wallpakuna sapa punchawmi runtuta runtunku.	Algunas gallinas ponen huevos diariamente.
Runtuchkanñam patukunaqa.	Ya están poniendo huevos los patos.
Llumpaytam rupapakurquni.	Me he sofocado demasiado.
Llumpaytam rupamuchkan.	Hace un fuerte calor.
Wayram mamaypa ruqunta qichurqun.	El viento quitó el sombrero a mi madre.
Kunanmi tantata ruranqa.	Hoy hará panes.
Paqaypa rurunqa utkuhinam.	El fruto del pacae es como el algodón.
Wawacham wañurqun ruru unquywan.	El bebé murió por el sarampión.
Wallpapaqa manam rurun kanchu.	La gallina no tiene riñones.
Paqarinmi sullka turiypa rutuchiynin kanqa.	Mañana será el corte de pelo de mi hermano menor.
¡Rutunata haywamuway!.	¡Alcánzame la hoz!.
Llamapa millwantam rantikunankupaq rutunqaku.	Van a esquilar la lana de la llama para venderla.
Rutunawan sarata rutumun.	Corta el maíz con la hoz.
Tiqsi muyu pachanchikqa ruyrum.	La tierra tiene la forma de una esfera.
Mulli sachamanta yantata ruranku.	Del árbol de molle hacen leña.
Yunkaqa sacha sachallam.	La selva tiene muchos árboles.
Kuchi wirayananpaq sallitam mikuchinku.	Para engordar al chancho le dan de comer azufre.
Sallqa runakunaqa chuñutam ruranku.	Los habitantes de la puna hacen chuño.
¡Sinqanta samay ama simintaqa!.	¡Respira por la nariz y no por la boca!.
Sani waytata tarikamuni.	Encontré una flor morada.
Sapa punchawmi imallatapas rurana.	Cada día debemos hacer algo.
Sapallan urpi pawan.	Vuela la paloma solitaria.
Miskikullanmi sankayu puqurquspan qa.	El fruto maduro del cactus es muy rico.
Sansata apamuy rupachinanchikpaq.	Trae la brasa para hacer fuego.
Mitu manka.	Olla de barro.
Sapin ismurquptinqa sachaqa wañurqunmi.	Si se pudre la raíz el árbol se muere.
Wak rumiqa sapsa kaspa, mana llasayniyuq.	Aquella piedra por ser porosa es liviana.
Imaymana rikchaq sarakunam kan.	Existe una gran variedad de maíces.
¡Ama sarata saruychu!.	¡No pises el maíz!.
Puñunaypiqa manam sawnaqa kanchu.	En mi cama no hay almohada.
Apachitakunapi achkam saywakuna.	En las abras hay muchos hitos.
Saywachalláy rumi chayllapim kanki kutimunaykama.	Saywita, espero encontrarte igual a mi retorno.
lskaynin chankaqa sikipim tukun.	Los muslos terminan en la posadera.
Manam puriyta atinchu siki patantam takakurqun.	No puede caminar porque se ha golpeado la cadera.
Misipahinam pisqukunapa sillunqa.	Las uñas de las aves son como las garras del gato.
Simi wichqasqapiqa manam chuspi yaykunchu.	En boca cerrada no entran moscas.
Simpanwanmi warmiqa sumaqcha.	La mujer se ve hermosa con la trenza.
Sapa punchawmi chukchanta sim pakun.	Todos los días se trenza el cabello.
Allin sinqayuqmi wak runaqa.	Aquel hombre tiene buena nariz.
Kaspikunatam sinrichkani.	Estoy ordenando los palos.
Yachay wasipi warmikunaqa sipasllaraqmi.	Las mujeres del colegio son jóvenes todavía.
Altusman siqay.	Sube al segundo piso.
Siqipi runakuna sayanku.	Los hombres se paran en la fila.
Allpapim siqichkani.	Estoy trazando una línea en el suelo.
Itanaqa llumpaytam siqsichikun.	La hortiga produce comezón.
Awiluypa siquynin manam tukurikunchu.	Las ojotas de mi abuelo no se acaban.
Siratu uya runam.	Es un hombre con una cicatriz en la cara.
Llikisqa waraytam sirarqusaq.	Coseré mis pantalones rotos.
Sirkanta kuchukurqun.	Se ha cortado las venas.
Hawaspa sisanta pisqu tuspachkan.	El pájaro está picoteando las flores de las habas.
Sisim wampukuchkan chaki paqpa sikinpi.	Hay muchísima hormiga debajo de la cabuya seca.
Siwaramantam machkata ruranku.	Hacen machka de la cebada.
Quri siwitam rurachimuchkan warminman qunanpaq.	Está mandando a hacer un anillo de oro para dárselo a su esposa.
Achkatam siwullata rantikunanpaq tarpurqun.	Ha sembrado harta cebolla para vender.
Suchuyarqunmi awiluy.	Mi abuelo se ha vuelto paralítico.
Manam kaypiqa kaymanchu suchukusaqmi.	Me retiraré porque no podré estar aquí.
Papa tarpunapaqqa hatun hatunmantam sukata kichana.	Los surcos deben abrirse más para sembrar la papa.
Sukakustin purini.	Camino silbando.
Sukullukuy rupaychakuchkan.	La lagartija está soleándose.
Sullapiqa manam papata hallmanachu.	Cuando el follaje de la papa está con rocío no debe aporcarse.
Paypa sullkanqa warmicham.	La menor de él es una mujercita.
Wakapa sullunqa hatunmi kasqa.	El feto de la vaca era grande.
Munapayay hapirquptin warmi sullurqun.	La mujer abortó a causa de su antojo no satisfecho.
Sumaqmi mamayqa.	Mi madre es hermosa.
Wasita sumaqchay allin kananpaq.	Arregla la casa para que se vea bien.
Warmakunaqa manam sunkayuqchu.	Los niños no tienen barba.
Uywapa sunqunta hurqurqa.	Había sacado el corazón del animal.
Asnu  llumpayta qipispam supita kachaykun.	El burro que carga bastante peso arroja mucho pedo.
Suqruy matiwachkan.	Mis zapatos me están apretando.
Suqusmanta pallanata ruranku.	Hacen una rocogedora de tuna del carrizo.
Humintanapaq suqututa hurqusun.	Vamos a sacar pancas para hacer humitas.
Uywanchikkunaqa yakutam suquchkanku.	Nuestros animales están sorbiendo el agua.
Suriqa sumaq sumaq puruyuqmi.	El ñandú tiene plumas muy hermosas.
Llumpay chiri surqamanman yaykurquptinqa runaqa unqunmi.	Si se enfrían demasiado los pulmones las personas se enferman.
Kay uywapa sutinqa kuchim.	El nombre de este animal es chancho.
Llaqtaykita sutinchay.	Describe a tu pueblo.
Yakuqa sutuchkan.	Está goteando el agua.
Suwam kunan tuta uywata aparqun.	El ladrón se llevó al animal esta noche.
Misi tuta aychata suwan.	El gato roba la carne de noche.
Paqarin mincha allin runa kaytam suyapakuni.	Tengo la esperanza de ser un hombre bueno en el futuro.
¡Chayllapi suyanki!.	¡Espera ahí!.
Suysunawan machkapa pusunta rakiy.	Con el cernidor separa el afrecho de la machca.
¡Suysunata apamuy!.	¡Trae el colador!.
Machkapa pusunta suysunku.	Ciernen el afrecho de la machca.
Suyunchikpa sutinqa Piruwmi.	El nombre de nuestro territorio es Perú.
Suyuchanchikpa sutinqa Wantam.	El nombre de nuestra provincia es Huanta.
Yachay wasipi wawakuna kusikuywan takinku.	Los niños en la escuela cantan con alegría.
Ñuqaykupa takllaykuqa Iluqi kaspimantam.	Nuestro arado es de lloque.
Uchuy allqutam uywani.	Crío un perro pequeño.
Taksaniraqlla runa hamusqa.	Vino un hombre de estatura mediana.
Tankaqa Iluqi kaspimanta rurasqam karqa.	La horqueta fue hecha del palo de lloque.
Tankayllum yawarniyta suquyta munaspa muyupayawan.	El moscón revolotea sobre mí queriendo chuparme la sangre.
